"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"1825 FINANCIAL PLANNING AND ADVICE LIMITED","Bow Bells House, 1 Bread Street, London, United Kingdom, EC4M 9HH","01447544","64999,
66190","44.5","42.6","74.1","83","88.8","90.7","31.6","68.4","32.9","67.1","52","48","78.9","21.1","https://www.standardlifeaberdeen.com/en/careers/diversity-and-inclusion/addressing-gender-balance","Julie Scott (Director)","250 to 499","1825 FINANCIAL PLANNING AND ADVICE LIMITED","False","06/10/2021 00:00:00","17/12/2020 07:59:59"
"1ST HOME CARE LTD.","14b Dickson Street, Elgin Industrial Estate, Dunfermline, Fife, Scotland, KY12 7SN","SC272838","86900,
88100","	-3.2","0.0","","","0.0","0.0","8.0","92.0","8.0","92.0","8.0","92.0","8.0","92.0","","David Sargent (Group Chief Executive Officer)","Less than 250","1ST HOME CARE LTD.","False","06/10/2021 00:00:00","04/02/2021 09:40:59"
"23.5 DEGREES LIMITED","Unit 3 Hedge End Retail Park, Charles Watts Way, Hedge End, Southampton, Hampshire, England, SO30 4RT","08014079","56103","9.0","	-1.0","81.0","9.0","5.0","4.0","31.0","69.0","40.0","60.0","28.0","72.0","37.0","63.0","https://9c1d40c3-8a40-4bd6-826c-fd9ba206f02b.filesusr.com/ugd/fd43ce_2ed49a689a994ab5b6d60d89f97ba23f.pdf","Luca Contardo (CFO)","500 to 999","23.5 DEGREES LIMITED","False","06/10/2021 00:00:00","28/09/2020 12:44:44"
"2GETHER SUPPORT SOLUTIONS LIMITED","Management Offices William Harvey Hospital, Kennington Road, Willesborough, Ashford, Kent, England, TN24 0LZ","11385580","81100","2.1","0.0","","","0.0","0.0","54.8","45.2","47.8","52.2","38.6","61.4","62.4","37.6","https://2gethersupportsolutions.org/about-us/","Jacqui Siggers (People Director)","1000 to 4999","2GETHER SUPPORT SOLUTIONS LIMITED","False","06/10/2021 00:00:00","04/03/2021 17:14:33"
"A. & B. GLASS COMPANY LIMITED","Addison Road, Chilton Industrial Estate, Sudbury, Suffolk, CO10 2YW","01543721","43342","14.40","0.40","35.50","13.30","67.50","32.10","73.00","27.00","78.00","22.00","73.00","27.00","87.00","13.00","","PHILIP FARNELL (GROUP HR MANAGER)","250 to 499","A. & B. GLASS COMPANY LIMITED","False","06/10/2021 00:00:00","11/05/2020 14:14:53"
"ABB LIMITED","Daresbury Park, Daresbury, Warrington, Cheshire, WA4 4BT","03780764","27120,
43210,
46520,
70100","22.6","31.1","31.7","31.5","82.2","82.0","67.0","33.0","79.9","20.1","86.6","13.4","87.8","12.2","https://new.abb.com/uk/about","Craig Prendergast (HR Manager)","1000 to 4999","ABB LIMITED","False","06/10/2021 00:00:00","10/03/2021 12:25:30"
"ABCAM PLC","Discovery Drive, Cambridge Biomedical Campus, Cambridge, United Kingdom, CB2 0AX","03509322","20140,
32990,
72110","28.0","26.9","68.3","36.2","23.7","22.1","43.0","57.0","34.5","65.5","46.9","53.1","65.5","34.5","https://www.abcamplc.com/investors/gender-pay-gap-report/","Nick Skinner (Senior Vice President, Human Resources)","500 to 999","ABCAM PLC","False","06/10/2021 00:00:00","27/10/2020 11:38:03"
"ABERDEEN ASSET MANAGEMENT PLC","10 Queen's Terrace, Aberdeen, Aberdeenshire, United Kingdom, AB10 1XL","SC082015","64205","19.5","19.4","53.1","31","78.2","76.5","46.5","53.5","42","58","60.3","39.7","64","36","https://www.standardlifeaberdeen.com/en/careers/diversity-and-inclusion/addressing-gender-balance","Brett Tollman (Director)","500 to 999","ABERDEEN ASSET MANAGEMENT PLC","False","06/10/2021 00:00:00","17/12/2020 08:01:30"
"ABERDEEN ASSET MANAGERS LIMITED","10 Queen's Terrace, Aberdeen, Aberdeenshire, United Kingdom, AB10 1XL","SC108419","64999","36.2","37.8","66.1","72.5","83.2","86.1","49.7","50.3","52.1","47.9","65.7","34.3","82.2","17.8","https://www.standardlifeaberdeen.com/en/careers/diversity-and-inclusion/addressing-gender-balance","Rod Paris (Director)","500 to 999","ABERDEEN ASSET MANAGERS LIMITED","False","06/10/2021 00:00:00","17/12/2020 08:02:46"
"ABERLOUR CHILD CARE TRUST","Kintail House, Forthside Way, Stirling, Stirlingshire, Scotland, FK8 1QZ","SC312912","96090","7.3","0.0","","","0.0","0.0","15.5","84.5","20.2","79.8","14.6","85.4","20.2","79.8","https://www.aberlour.org.uk/publication/aberlour-gender-pay-gap-report/","SallyAnn Kelly (Chief Executive)","250 to 499","ABERLOUR CHILD CARE TRUST","False","06/10/2021 00:00:00","26/02/2021 13:58:01"
"ABF GRAIN PRODUCTS LIMITED","Weston Centre, 10 Grosvenor Street, London, W1K 4QY","00079590","10611,
10612,
10710,
10730","	-7.0","	-0.6","14.6","	-7.1","22.8","40.6","71.9","28.1","87.6","12.4","83.7","16.3","74.0","26.0","https://www.abf.co.uk/abf-grain-products-ltd-gender-pay-gap-report-2020","David Webster (Director of Sustainability & External Affairs)","5000 to 19,999","ABF GRAIN PRODUCTS LIMITED","False","06/10/2021 00:00:00","24/02/2021 12:43:35"
"ACCELERATED EDUCATION TUITION LIMITED","V3, Vector Park, Forest Road, Feltham, England, TW13 7EJ","06857560","85200","	-28.0","0.0","","","0.0","0.0","45.7","54.3","37.2","62.8","42.1","57.9","37.9","62.1","","Mark Bezant (Finance Manager)","250 to 499","ACCELERATED EDUCATION TUITION LIMITED","False","06/10/2021 00:00:00","12/03/2021 11:27:56"
"ACCESS UK LTD","The Old School, School Lane, Stratford St Mary, Colchester, Essex,, CO7 6LZ","02343760","62090","21.4","23.2","42.4","26.9","58.1","48.9","56.0","44.0","59.0","41.0","69.0","31.0","77.0","23.0","https://www.theaccessgroup.com/company/our-people-and-values/","Claire Scott (Chief People Officer)","1000 to 4999","ACCESS UK LTD","False","06/10/2021 00:00:00","18/12/2020 14:44:57"
"ACORN INSURANCE AND FINANCIAL SERVICES LIMITED","98 Liverpool Road Formby, Liverpool, Merseyside, L37 6BS","01636368","65120","14.60","2.90","27.70","13.00","67.20","67.60","50.60","49.40","45.50","54.50","53.30","46.70","62.70","37.30","","Nikki Keating (Director)","500 to 999","ACORN INSURANCE AND FINANCIAL SERVICES LIMITED","False","06/10/2021 00:00:00","26/05/2020 15:49:34"
"ACORN MOBILITY SERVICES LTD.","Telecom House Millennium, Business Park Station Road, Steeton Bradford, West Yorkshire, BD20 6RB","02593771","32990","	-2.0","	-7.2","	-11.1","	-124.5","47.8","74.3","85.5","14.5","76.0","24.0","76.3","23.7","69.3","30.7","","Kate Gledhill (Group HR Director)","500 to 999","ACORN MOBILITY SERVICES LTD.","False","06/10/2021 00:00:00","10/03/2021 10:26:43"
"ACS INTERNATIONAL SCHOOLS LIMITED","Heywood, Portsmouth Road, Cobham Surrey, KT11 1BL","00910010","85100,
85200,
85310","4.1","	-7.0","53.9","52.9","3.8","0.9","37.2","62.8","40.3","59.7","22.9","77.1","43.8","56.2","https://www.acs-schools.com/","Fiona Whitworth (HR Director)","500 to 999","ACS INTERNATIONAL SCHOOLS LIMITED","False","06/10/2021 00:00:00","24/02/2021 21:55:00"
